,IBM,MSFT,AAPL,AMZN,FB
2021-02-05.4. close,121.7900,242.2000,136.7600,3352.1500,268.1000
2021-02-05.5. volume,4565727,18054752,75693830,3620808,12454367
2021-02-08.1. open,122.6200,243.1500,136.0300,3358.5000,268.7500
2021-02-08.2. high,123.9767,243.6800,136.9600,3364.9999,269.8600
2021-02-08.3. low,122.4000,240.8100,134.9200,3304.0000,265.0000
2021-02-08.4. close,123.6100,242.4700,136.9100,3322.9400,266.5800
2021-02-08.5. volume,5887999,22211929,71297214,3257391,13755191
2021-02-09.1. open,121.9000,241.8700,136.6200,3312.4900,266.4400
2021-02-09.2. high,122.5953,244.7600,137.8770,3338.0000,273.3900
2021-02-09.3. low,121.0500,241.3800,135.8500,3297.8400,265.7500
2021-02-09.4. close,122.1000,243.7700,136.0100,3305.0000,269.4500
2021-02-09.5. volume,4661655,23471475,75986989,2179355,14420322
2021-02-10.1. open,123.0300,245.0000,136.4800,3314.0000,272.4465
2021-02-10.2. high,123.4100,245.9200,136.9900,3317.9548,273.7999
2021-02-10.3. low,121.2138,240.8900,134.4000,3254.0000,267.7200
2021-02-10.4. close,122.2400,242.8200,135.3900,3286.5800,271.8700
2021-02-10.5. volume,4831858,22117240,72647988,3125174,14188230
2021-02-11.1. open,122.0000,244.7800,135.9000,3292.0000,271.8900
2021-02-11.2. high,122.2050,245.1500,136.3900,3292.0000,273.5800
2021-02-11.3. low,120.6300,242.1500,133.7700,3248.0600,268.4900
2021-02-11.4. close,120.9100,244.4900,135.1300,3262.1300,270.3900
2021-02-11.5. volume,5381556,15751059,64280029,2301417,12828572
2021-02-12.1. open,121.0000,243.9332,134.3500,3250.0000,270.5200
2021-02-12.2. high,121.3600,245.3000,135.5300,3280.2500,271.1800
2021-02-12.3. low,120.0900,242.7300,133.6921,3233.3100,268.3400
2021-02-12.4. close,120.8000,244.9900,135.3700,3277.7100,270.5000
2021-02-12.5. volume,3871195,16561079,60145130,2335339,9097597
2021-02-16.1. open,120.1500,245.0300,135.4900,3254.0500,270.8000
2021-02-16.2. high,120.6000,246.1300,136.0100,3308.3000,276.6000
2021-02-16.3. low,119.3600,242.9200,132.7900,3253.5910,270.0500
2021-02-16.4. close,120.0700,243.7000,133.1900,3268.9500,273.9700
2021-02-16.5. volume,6639790,26728487,80576316,2574721,15417243
2021-02-17.1. open,119.2700,241.3200,131.2500,3263.6000,271.2400
2021-02-17.2. high,120.5600,244.3100,132.2200,3320.9100,273.9700
2021-02-17.3. low,119.0200,240.9400,129.4700,3259.4996,269.5800
2021-02-17.4. close,119.9700,244.2000,130.8400,3308.6400,273.5700
2021-02-17.5. volume,3949876,21451617,97372199,3261801,12619051
2021-02-18.1. open,120.5000,241.8000,129.2000,3282.4200,269.5650
2021-02-18.2. high,120.9400,243.9300,129.9950,3338.0000,271.9500
2021-02-18.3. low,119.7000,240.8600,127.4100,3273.9400,266.0300
2021-02-18.4. close,120.7300,243.7900,129.7100,3328.2300,269.3900
2021-02-18.5. volume,5399145,16925563,96856748,3033607,15249134
2021-02-19.1. open,120.7500,243.7500,130.2400,3328.2300,269.8600
2021-02-19.2. high,120.7600,243.8600,130.7100,3333.5000,270.2700
2021-02-19.3. low,118.3800,240.1800,128.8000,3245.7500,260.1500
2021-02-19.4. close,118.9900,240.9700,129.8700,3249.9000,261.5600
2021-02-19.5. volume,6578741,25262600,87668834,4305184,25622587
2021-02-22.1. open,118.5000,237.4200,128.0100,3208.1300,257.9500
2021-02-22.2. high,121.1250,237.9300,129.7200,3232.3199,263.0700
2021-02-22.3. low,118.4400,232.4000,125.6000,3172.2600,257.5300
2021-02-22.4. close,120.8600,234.5100,126.0000,3180.7400,260.3300
2021-02-22.5. volume,5838841,36182764,102886922,3461266,17298474
2021-02-23.1. open,120.9200,230.3250,123.7600,3127.0300,259.5000
2021-02-23.2. high,121.3500,234.8300,126.7100,3204.7300,267.4600
2021-02-23.3. low,119.8000,228.7300,118.3900,3093.6000,254.9600
2021-02-23.4. close,120.7100,233.2700,125.8600,3194.5000,265.8550
2021-02-23.5. volume,4531464,30228704,158273022,4677222,21924557
2021-02-24.1. open,120.8000,230.0100,124.9400,3166.7500,262.3250
2021-02-24.2. high,123.4900,235.2000,125.5600,3171.2300,266.3800
2021-02-24.3. low,120.5200,229.0000,122.2300,3125.3800,258.3900
2021-02-24.4. close,123.2100,234.5500,125.3500,3159.5300,264.3100
2021-02-24.5. volume,5819983,26339746,111039904,3011275,15736123
2021-02-25.1. open,123.3700,232.0800,124.6800,3136.7400,262.3000
2021-02-25.2. high,124.3500,234.5852,126.4585,3178.2600,266.9400
2021-02-25.3. low,122.3350,227.8800,120.5400,3047.7600,254.0400
2021-02-25.4. close,122.4700,228.9900,120.9900,3057.1600,254.6900
2021-02-25.5. volume,5672671,39118089,144766924,4399320,18430701
2021-02-26.1. open,122.2500,231.5250,122.5900,3095.2000,256.4700
2021-02-26.2. high,122.2500,235.3700,124.8500,3122.4400,265.5500
2021-02-26.3. low,118.8800,229.5400,121.2000,3036.7000,256.4700
2021-02-26.4. close,118.9300,232.3800,121.2600,3092.9300,257.6200
2021-02-26.5. volume,8868848,37545055,163424672,4246135,26313472
2021-03-01.1. open,120.3500,235.9000,123.7500,3127.8900,260.8200
2021-03-01.2. high,122.3200,237.4700,127.9300,3149.5600,266.6500
2021-03-01.3. low,119.8649,233.1500,122.7900,3097.9900,257.9039
2021-03-01.4. close,120.7400,236.9400,127.7900,3146.1400,264.9100
2021-03-01.5. volume,5715767,25332837,116307892,2733963,22157255
2021-03-02.1. open,120.7400,237.0100,128.4100,3143.4700,265.7800
2021-03-02.2. high,121.9000,237.3000,128.7200,3163.5200,266.7100
2021-03-02.3. low,120.2600,233.4500,125.0100,3087.1201,258.6500
2021-03-02.4. close,120.3300,233.8700,125.1200,3094.5300,259.0000
2021-03-02.5. volume,4524299,22812459,102260945,2595762,15191722
2021-03-03.1. open,120.5000,232.1550,124.8100,3081.1800,260.2900
2021-03-03.2. high,122.6340,233.5799,125.7100,3107.7750,260.9899
2021-03-03.3. low,119.9800,227.2600,121.8400,2995.0000,255.1000
2021-03-03.4. close,122.3600,227.5600,122.0600,3005.0000,255.4100
2021-03-03.5. volume,7404269,34029526,112966340,3988725,15513515
2021-03-04.1. open,122.0000,226.7350,121.7500,3012.0000,256.4700
2021-03-04.2. high,123.2200,232.4900,123.6000,3058.1300,266.4900
2021-03-04.3. low,118.7550,224.2600,118.6200,2945.4300,253.5000
2021-03-04.4. close,120.1100,226.7300,120.1300,2977.5700,257.6400
2021-03-04.5. volume,8068492,44727785,178154975,5481578,31626463
2021-03-05.1. open,120.6400,229.5165,120.9800,3005.0000,260.6700
2021-03-05.2. high,123.7500,233.2700,121.9350,3009.0000,265.4500
2021-03-05.3. low,120.2500,226.4600,117.5700,2881.0001,255.6100
2021-03-05.4. close,122.8300,231.6000,121.4200,3000.4600,264.2800
2021-03-05.5. volume,6949265,41872770,153766601,5388551,26820055
2021-03-08.1. open,122.9900,231.3700,120.9300,3015.0000,265.5500
2021-03-08.2. high,126.8500,233.3650,121.0000,3064.5900,265.5800
2021-03-08.3. low,122.8800,227.1300,116.2100,2951.3100,255.0500
2021-03-08.4. close,124.8100,227.3900,116.3600,2951.9500,255.3100
2021-03-08.5. volume,7239191,35267440,154376610,4185008,18391768
2021-03-09.1. open,125.4000,232.8800,119.0300,3017.9900,261.1750
2021-03-09.2. high,126.4300,235.3839,122.0600,3090.9600,268.5300
2021-03-09.3. low,124.1600,231.6700,118.7900,3005.1474,259.8100
2021-03-09.4. close,124.1800,233.7800,121.0850,3062.8500,265.7400
2021-03-09.5. volume,5609029,33080531,129525780,4030032,22039740
2021-03-10.1. open,125.0500,237.0000,121.6900,3098.4500,268.6400
2021-03-10.2. high,128.2400,237.0000,122.1700,3116.4600,268.9700
2021-03-10.3. low,124.6100,232.0400,119.4500,3030.0500,262.8700
2021-03-10.4. close,127.8700,232.4200,119.9800,3057.6400,264.9000
2021-03-10.5. volume,7247807,29746812,111943326,3012489,14210318
2021-03-11.1. open,128.0900,234.9600,122.5400,3104.0100,268.1100
2021-03-11.2. high,128.6400,239.1700,123.2100,3131.7843,277.9000
2021-03-11.3. low,126.7800,234.3100,121.2600,3082.9300,267.8200
2021-03-11.4. close,127.1400,237.1300,121.9600,3113.5900,273.8800
2021-03-11.5. volume,5146937,29907586,103026514,2776391,21833979
2021-03-12.1. open,127.1900,234.0100,120.4000,3075.0000,269.1400
2021-03-12.2. high,127.6800,235.8200,121.1700,3098.9800,269.7400
2021-03-12.3. low,126.6100,233.2300,119.1600,3045.5000,264.0200
2021-03-12.4. close,127.6100,235.7500,121.0300,3089.4900,268.4000
2021-03-12.5. volume,4010100,22653662,88105050,2421888,20600198
2021-03-15.1. open,127.7700,234.9600,121.4100,3074.5700,269.0800
2021-03-15.2. high,128.7500,235.1850,124.0000,3082.2400,275.9600
2021-03-15.3. low,127.5401,231.8100,120.4200,3032.0900,268.5000
2021-03-15.4. close,128.5800,234.8100,123.9900,3081.6800,273.7500
2021-03-15.5. volume,3421281,26042669,92590555,2918592,16856746
2021-03-16.1. open,128.2800,236.2800,125.7000,3104.9700,276.0850
2021-03-16.2. high,128.5200,240.0550,127.2200,3128.9100,282.1400
2021-03-16.3. low,127.3400,235.9400,124.7150,3075.8601,274.8000
2021-03-16.4. close,128.2400,237.7100,125.5700,3091.8600,279.2800
2021-03-16.5. volume,4653178,28092196,115227936,2538764,22437665
2021-03-17.1. open,128.4600,236.1500,124.0500,3073.2200,275.7050
2021-03-17.2. high,129.4900,238.5500,125.8599,3173.0500,286.2300
2021-03-17.3. low,127.4900,233.2300,122.3360,3070.2200,275.4100
2021-03-17.4. close,129.0300,237.0400,124.7600,3135.7300,284.0100
2021-03-17.5. volume,4291351,29562100,111932636,3118584,21315044
2021-03-18.1. open,128.9400,232.5600,122.8800,3101.0000,279.8700
2021-03-18.2. high,130.9950,234.1900,123.1800,3116.6300,285.1899
2021-03-18.3. low,127.7900,230.3300,120.3200,3025.0000,278.2800
2021-03-18.4. close,130.0600,230.7200,120.5300,3027.9900,278.6200
2021-03-18.5. volume,5835669,34852251,121469755,3657027,18754853
2021-03-19.1. open,130.0200,231.0200,119.9000,3029.2300,281.2200
2021-03-19.2. high,130.4400,232.4740,121.4300,3077.2850,292.8000
2021-03-19.3. low,128.5300,229.3496,119.6750,3016.6300,281.1950
2021-03-19.4. close,128.9000,230.3500,119.9900,3074.9600,290.1100
2021-03-19.5. volume,9844983,46430730,185549522,4625354,38930536
2021-03-22.1. open,128.5000,230.2700,120.3300,3067.8500,290.4500
2021-03-22.2. high,130.7200,236.9000,123.8700,3126.5800,299.7050
2021-03-22.3. low,127.8900,230.1400,120.2600,3060.0500,286.7501
2021-03-22.4. close,130.5500,235.9900,123.3900,3110.8700,293.5400
2021-03-22.5. volume,4164914,30127005,111912284,2902179,28273073
2021-03-23.1. open,130.4400,237.4850,123.3300,3127.0000,293.1500
2021-03-23.2. high,131.5600,241.0500,124.2400,3182.0000,298.0000
2021-03-23.3. low,129.8000,237.0700,122.1400,3120.8501,289.8100
2021-03-23.4. close,130.4600,237.5800,122.5400,3137.5000,290.6300
2021-03-23.5. volume,4356359,31638376,95467142,3817263,23000929
2021-03-24.1. open,130.9500,237.8450,122.8200,3151.0400,291.0000
